"IdM","NazwaM"
1,"Nysa"
2,"Kedzierzyn-Kozle"
3,"Brzeg"
4,"Chrzaszczyszewoszyce"
5,"Gliwice"
6,"Warszawa"
7,"Kraków"
8,"Lódz"
9,"Wroclaw"
10,"Poznan"
11,"Gdansk"
12,"Szczecin"
13,"Bydgoszcz"
14,"Lublin"
15,"Katowice"
16,"Bialystok"
17,"Gdynia"
18,"Czestochowa"
19,"Radom"
20,"Sosnowiec"
21,"Torun"
22,"Kielce"
23,"Rzeszów"
24,"Zabrze"
25,"Olsztyn"
26,"Bielsko-Biala"
27,"Bytom"
28,"Zielona Góra"
29,"Rybnik"
30,"Opole"
31,"Tychy"
32,"Elblag"
33,"Plock"
34,"Walbrzych"
35,"Wloclawek"
36,"Tarnów"
37,"Chorzów"
38,"Koszalin"
39,"Kalisz"
40,"Legnica"
41,"Grudziadz"
42,"Slupsk"
43,"Jaworzno"
44,"Przemysl"
45,"Suwalki"
46,"Pila"
47,"Ostroleka"
48,"Olawa"
49,"Swietochlowice"
